NAME,TEAM,POSITION,POINTS,REBOUNDS,ASSIST,PPG,RPG,APG,MVP RATING,GAMES,YEAR,STATUS
Aldyn Zandrex Lawagan,Dannievic Eagles,PF,64,23,11,12.80,4.60,2.20,7.87,5,2023,ACTIVE
Jim Hendricks Bag-eo,Dannievic Eagles,SF,189,69,8,27.00,9.86,1.14,16.49,7,2023,ACTIVE
Joeffrey Carani,Dannievic Eagles,SG,34,50,17,17.00,25.00,8.50,16.85,2,2023,ACTIVE
Manny Pacquio,Dannievic Eagles,PG,25,39,23,6.25,9.75,5.75,6.34,4,2023,ACTIVE
Daniel Padilla,Dannievic Eagles,PG,83,47,19,13.83,7.83,3.17,9.37,6,2023,ACTIVE
Giannis Antetokounmpo,Milwaukee Bucks,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Thanasis Antetokounmpo,Milwaukee Bucks,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Malik Beasley,Milwaukee Bucks,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
MarJon Beauchamp,Milwaukee Bucks,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Patrick Beverley,Milwaukee Bucks,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Marques Bolden,Milwaukee Bucks,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Andre Jackson Jr.,Milwaukee Bucks,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Damian Lillard,Milwaukee Bucks,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
LeBron James,Los Angeles Lakers,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Anthony Davis,Los Angeles Lakers,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
D'Angelo Russell,Los Angeles Lakers,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Austin Reaves,Los Angeles Lakers,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Rui Hachimura,Los Angeles Lakers,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Jaxson Hayes,Los Angeles Lakers,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Taurean Prince,Los Angeles Lakers,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Gabe Vincent,Los Angeles Lakers,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Stephen Curry,Golden State Warriors,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Klay Thompson,Golden State Warriors,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Draymond Green,Golden State Warriors,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Andrew Wiggins,Golden State Warriors,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Chris Paul,Golden State Warriors,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Kevon Looney,Golden State Warriors,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Jonathan Kuminga,Golden State Warriors,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Gary Payton II,Golden State Warriors,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Jayson Tatum,Boston Celtics,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Jaylen Brown,Boston Celtics,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Kristaps Porzingis,Boston Celtics,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Jrue Holiday,Boston Celtics,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Derrick White,Boston Celtics,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Al Horford,Boston Celtics,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Payton Pritchard,Boston Celtics,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Luke Kornet,Boston Celtics,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Nikola Jokic,Denver Nuggets,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Jamal Murray,Denver Nuggets,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Michael Porter Jr.,Denver Nuggets,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Aaron Gordon,Denver Nuggets,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Kentavious Caldwell-Pope,Denver Nuggets,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Reggie Jackson,Denver Nuggets,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Christian Braun,Denver Nuggets,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Peyton Watson,Denver Nuggets,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Kevin Durant,Phoenix Suns,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Devin Booker,Phoenix Suns,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Bradley Beal,Phoenix Suns,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Jusuf Nurkic,Phoenix Suns,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Grayson Allen,Phoenix Suns,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Eric Gordon,Phoenix Suns,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Drew Eubanks,Phoenix Suns,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Bol Bol,Phoenix Suns,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Luka Doncic,Dallas Mavericks,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Kyrie Irving,Dallas Mavericks,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Seth Curry,Dallas Mavericks,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Dwight Powell,Dallas Mavericks,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Tim Hardaway Jr.,Dallas Mavericks,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Josh Green,Dallas Mavericks,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Dante Exum,Dallas Mavericks,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Richaun Holmes,Dallas Mavericks,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Michael Jordan II,Dannievic Eagles,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Derick Rose,Dannievic Eagles,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Kai Soto,Dannievic Eagles,C,0,0,0,0,0,0,0,0,2024,ACTIVE
Aldyn Zandrex Lawagan,Dannievic Eagles,PF,0,0,0,0,0,0,0,0,2024,ACTIVE
Jim Hendricks Bag-eo,Dannievic Eagles,SF,0,0,0,0,0,0,0,0,2024,ACTIVE
Joeffrey Carani,Dannievic Eagles,SG,0,0,0,0,0,0,0,0,2024,ACTIVE
Manny Pacquio,Dannievic Eagles,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
Daniel Padilla,Dannievic Eagles,PG,0,0,0,0,0,0,0,0,2024,ACTIVE
